"int_n","int_des","total_cost","delta.deaths","delta.deaths.npv","che.10","che.25","int_eff_uncert","pop_burden_uncert"
2,"Skilled birth attendance",3503675.43296,139.144102501749,139.144102501749,0,0,"MEAN","MEAN"
3,"Basic emergency obstetric care",14845040.57088,322.09193831815,322.09193831815,77936,8008,"MEAN","MEAN"
4,"Comprehensive emergency obstetric care",2581746.18624,112.555590810311,112.555590810311,23194,9199,"MEAN","MEAN"
5,"Management of neonatal sepsis with antibiotics",1060.65696083157,348.790328768885,348.790328768885,0,0,"MEAN","MEAN"
6,"Full supportive care of preterm newborns (CPAP and surfactant)",75100.8796585184,241.814301695475,241.814301695475,193,12,"MEAN","MEAN"
9,"Oral rehydration solution",2907289.84074432,517.619559374916,517.619559374916,0,0,"MEAN","MEAN"
10,"Antibiotics for pneumonia",2424968.4528088,537.055700907195,537.055700907195,0,0,"MEAN","MEAN"
11,"Antibiotics for meningitis",160177.820393594,78.5880528341927,78.5880528341927,1271,29,"MEAN","MEAN"
12,"TB diagnosis and treatment (sputum)",4340325.43869005,955.516905851296,955.516905851296,47323,11041,"MEAN","MEAN"
14,"ART",2965286.60661691,596.832988919181,444.099795264387,0,0,"MEAN","MEAN"
16,"Cervical cancer screening (DVI) and treatment",408858.99096,105.323088695869,105.323088695869,448,152,"MEAN","MEAN"
18,"Treatment of acute IHD event and secondary prevention",976984.959822644,371.311847521293,320.296861417781,2192,2192,"MEAN","MEAN"
19,"Screening for type 2 diabetes and glycemic control",520485.560178509,125.83629765465,93.6340233579579,3970,1337,"MEAN","MEAN"
20,"Basic package of quality surgical services",21454441.299619,356.498533831358,356.498533831358,153072,91760,"MEAN","MEAN"
2,"Skilled birth attendance",3503675.43296,112.417881462293,112.417881462293,0,0,"MEAN","LB"
3,"Basic emergency obstetric care",14845040.57088,250.818051248535,250.818051248535,74560,7684,"MEAN","LB"
4,"Comprehensive emergency obstetric care",2581746.18624,80.3505822688246,80.3505822688246,20495,8023,"MEAN","LB"
5,"Management of neonatal sepsis with antibiotics",831.413257459153,263.204434509184,263.204434509184,0,0,"MEAN","LB"
6,"Full supportive care of preterm newborns (CPAP and surfactant)",66732.3419311842,185.200152166349,185.200152166349,186,13,"MEAN","LB"
