"objective","budget","package.deaths","package.che.10","package.che.25","package.deaths.LB","package.che.10.LB","package.deaths.UB","package.che.10.UB","package.deaths.npv","package.E","package.E.LB","package.E.UB"
"delta.deaths",1000000,795,0.00113646717678346,0.000608832083856164,415,0.000959675290396484,1218,0.00139143687144166,763,0.0957758448517138,-0.175256656898781,0.176716278415013
"che.10",1000000,720,0.00284404504443766,0.00264235451491234,468,0.00226080257559662,1003,0.00337827408727987,669,0.0839078540806341,-0.103736484273651,0.0839078540806341
"che.25",1000000,720,0.00284404504443766,0.00264235451491234,468,0.00226080257559662,1003,0.00337827408727987,669,0.0839078540806341,-0.103736484273651,0.0839078540806341
"delta.deaths.LB",1000000,720,0.00284404504443766,0.00264235451491234,468,0.00226080257559662,1003,0.00337827408727987,669,0.0839078540806341,-0.103736484273651,0.0839078540806341
"che.10.LB",1000000,720,0.00284404504443766,0.00264235451491234,468,0.00226080257559662,1003,0.00337827408727987,669,0.0839078540806341,-0.103736484273651,0.0839078540806341
"delta.deaths.UB",1000000,775,0.00053367913431184,0.000180315210150212,441,0.000448531482990938,1239,0.000664888761358715,775,0.0824001745305077,-0.179793911360439,0.147587062401407
"che.10.UB",1000000,720,0.00284404504443766,0.00264235451491234,468,0.00226080257559662,1003,0.00337827408727987,669,0.0839078540806341,-0.103736484273651,0.0839078540806341
"delta.deaths.npv",1000000,775,0.00053367913431184,0.000180315210150212,441,0.000448531482990938,1239,0.000664888761358715,775,0.0824001745305077,-0.179793911360439,0.147587062401407
"E",1000000,716,0.000893298701488353,0.000526022364737815,352,0.000788653694515336,1117,0.00102175505541773,684,0.0989753497037837,-0.158233616318573,0.165580241830616
"E.UB",1000000,795,0.00113646717678346,0.000608832083856164,415,0.000959675290396484,1218,0.00139143687144166,763,0.0957758448517138,-0.175256656898781,0.176716278415013
"delta.deaths",6210526.31578947,2122,0.0129877017537493,0.00784710511433389,1408,0.0106912596749064,2849,0.0153980646229806,2039,0.136890685242841,-0.251808802411387,0.221233695416116
